Group 1,Group 2,H,p-value,q-value
13 (n=1),8 (n=1),1.0,0.31731050786291115,0.32326939063967947
13 (n=1),9 (n=1),1.0,0.31731050786291115,0.32326939063967947
13 (n=1),NA (n=257),1.8940702792843922,0.16874354796789026,0.32326939063967947
14 (n=1),15 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),16 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),17 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),18 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),19 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),2 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),21 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),22 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),23 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),24 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),25 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),26 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),27 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),28 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),29 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),3 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),30 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),31 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),32 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),33 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),34 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),35 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),36 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),38 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),39 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),4 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),40 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),41 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),42 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),43 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),44 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),45 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),46 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),47 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),48 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),49 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),50 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),51 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),52 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),53 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),54 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),55 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),56 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),57 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),58 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),59 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),6 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),60 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),62 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),63 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),64 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),65 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),66 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),7 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),8 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),9 (n=1),1.0,0.31731050786291115,0.32326939063967947
14 (n=1),NA (n=257),0.9475985156918796,0.3303313286757994,0.3361839942177364
15 (n=1),16 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),17 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),18 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),19 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),2 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),21 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),22 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),23 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),24 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),25 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),26 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),27 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),28 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),29 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),3 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),30 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),31 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),32 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),33 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),34 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),35 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),36 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),38 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),39 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),4 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),40 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),41 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),42 (n=1),1.0,0.31731050786291115,0.32326939063967947
15 (n=1),43 (n=1),1.0,0.31731050786291115,0.32326939063967947
